Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
aardvark, 8, 5, 3, 2, e i a,0,3,2,0
aardwolf, 8, 7, 3, 2, e i a,0,3,2,0
aaron, 5, 4, 3, 2, e s a,0,3,2,0
aback, 5, 4, 7, 6, e s a t l d n,0,10,9,1
abacus, 6, 5, 6, 4, e a s w l t,0,8,6,0
abaft, 5, 4, 6, 4, e s a t p i,0,11,9,1
abalone, 7, 6, 3, 0, e a n,0,4,1,0
abandon, 7, 5, 5, 2, e i a o d,0,4,2,0
abandoned, 9, 6, 4, 1, e s d a,0,4,1,0
abandonment, 11, 8, 4, 1, e s t n,0,3,0,0
abandons, 8, 6, 5, 3, e i a s t,0,4,2,0
abase, 5, 4, 6, 3, e a g w b t,0,7,4,0
abased, 6, 5, 6, 2, e r d a b t,0,7,4,0
abasement, 9, 7, 5, 0, e s t n m,0,7,2,0
abash, 5, 4, 6, 3, e s t a h w,0,18,15,2
abashed, 7, 6, 8, 3, e r d l s t h a,0,7,4,0
abate, 5, 4, 6, 2, e a g w b t,0,3,0,0
abated, 6, 5, 6, 1, e r d a b t,0,7,4,0
abatement, 9, 6, 4, 1, e s n t,0,2,0,0
abates, 6, 5, 10, 7, e r d s l i a k z v,0,7,3,0
abattoir, 8, 6, 4, 2, e i a n,0,3,1,0
abattoirs, 9, 7, 4, 2, e i n a,0,3,1,0
abbe, 4, 3, 9, 7, e a c l i s t u z,0,13,11,3
abbess, 6, 4, 4, 1, e s a c,0,12,9,1
abbey, 5, 4, 9, 7, e s d r l n o a c,0,11,9,1
abbeys, 6, 5, 8, 5, e s r l o i a t,0,10,7,0
abbot, 5, 4, 9, 7, e s a o r l i y c,0,10,7,0
abbots, 6, 5, 8, 5, e a i o s r l y,0,10,6,0
abbreviate, 10, 7, 6, 1, e r i t a c,0,12,7,0
abbreviated, 11, 8, 8, 2, e s r d t i a c,0,12,6,0
abbreviates, 11, 8, 7, 1, e s t i r a c,0,12,6,0
abbreviating, 12, 9, 8, 1, i n g e t r a c,0,12,6,0
abbreviation, 12, 9, 8, 1, i n o t r e a c,0,12,5,0
abbreviations, 13, 10, 9, 1, i s n o t e r a c,0,12,4,0
abdicate, 8, 7, 5, 1, e a t c o,0,7,3,0
abdicated, 9, 7, 4, 1, e s d a,0,7,3,0
abdicates, 9, 8, 5, 0, e s i a t,0,7,2,0
abdicating, 10, 8, 7, 2, e i a t n g r,0,7,3,0
abdication, 10, 8, 7, 2, e i a t n o r,0,8,3,0
abdomen, 7, 7, 4, 2, e r d s,0,6,2,0
abdomens, 8, 8, 7, 4, e s r n t l k,0,6,2,0
abdominal, 9, 8, 4, 2, e i s a,0,4,2,0
abduct, 6, 6, 9, 5, e a i o u s t b p,0,8,6,0
abducted, 8, 7, 6, 2, e s d i t a,0,7,4,0
abducting, 9, 9, 8, 3, e i n g r a s t,0,7,3,0
abduction, 9, 9, 6, 1, e i n o t a,0,5,1,0
abductions, 10, 10, 5, 1, e i s o a,0,5,1,0
abductor, 8, 8, 6, 2, e i a o t c,0,7,4,0
abductors, 9, 9, 6, 2, e i a o s r,0,4,1,0
abducts, 7, 7, 7, 3, e i a o u t s,0,7,4,0
abe, 3, 3, 12, 10, a e y x w v t r p l g c,2,20,17,8
abeam, 5, 4, 5, 3, e s a l d,0,9,7,0
abel, 4, 4, 7, 5, e s d r l o u,0,10,7,0
abele, 5, 4, 5, 3, e s r c l,0,3,1,0
aberdeen, 8, 6, 3, 1, e r v,0,3,1,0
aberrant, 8, 6, 5, 2, e i r n s,0,3,0,0
aberration, 10, 8, 6, 0, e i n o t r,0,3,0,0
aberrations, 11, 9, 7, 0, e i o s n t r,0,3,0,0
abet, 4, 4, 11, 9, e s d r l n h i o a x,1,3,0,0
abets, 5, 5, 8, 5, e s r l o i a n,0,3,0,0
abetted, 7, 5, 6, 3, e r d l t h,0,3,0,0
abetting, 8, 7, 9, 4, e i n g r s l t h,0,3,0,0
abeyance, 8, 6, 4, 2, e r a l,0,6,3,0
abhor, 5, 5, 6, 3, e s a o r t,0,8,5,0
abhorred, 8, 7, 5, 1, e s d a r,0,8,4,0
abhorrence, 10, 8, 5, 2, e n c i u,0,3,1,0
abhorrent, 9, 8, 5, 1, e s n t r,0,7,2,0
abhors, 6, 6, 7, 3, e a i o s r t,0,8,4,0
abide, 5, 5, 8, 5, e a l o i s m r,0,14,10,2
abided, 6, 5, 4, 1, e r d a,0,8,5,0
abides, 6, 6, 8, 4, e r d s i g x h,0,7,3,0
abiding, 7, 6, 8, 4, e i n g l r s a,0,7,4,0
abidjan, 7, 6, 6, 4, e i r l n o,0,5,3,0
abies, 5, 5, 6, 3, e s a l d c,0,7,3,0
abilities, 9, 7, 4, 0, e s i t,0,5,1,0
ability, 7, 6, 9, 4, e i n t y a d l g,0,17,13,2
abject, 6, 6, 8, 4, e s n l a t c f,0,15,11,2
abjectly, 8, 8, 9, 3, e r i a t b y l n,0,6,3,0
abjure, 6, 6, 8, 5, e l i a u s d n,0,11,8,0
abjured, 7, 7, 7, 2, e r u s d a l,0,13,8,0
ablate, 6, 5, 5, 1, e l a b z,0,5,2,0
ablates, 7, 6, 7, 3, e r d s i l a,0,3,0,0
ablating, 8, 7, 7, 2, e i n g a r l,0,6,2,0
ablation, 8, 7, 7, 2, e i n a o b s,0,5,1,0
ablative, 8, 7, 4, 0, e a i l,0,5,1,0
ablaze, 6, 5, 5, 0, e l a b z,0,14,11,2
able, 4, 4, 5, 2, e a c l x,0,20,16,2
ablebodied, 10, 7, 4, 1, e r i l,0,7,3,0
abler, 5, 5, 8, 5, e s d r a g m t,0,10,6,0
ablest, 6, 6, 7, 2, e s t i r l a,0,8,4,0
abloom, 6, 5, 4, 2, e a i o,0,4,2,0
ablution, 8, 8, 7, 1, e i n a o u l,0,5,1,0
ablutions, 9, 9, 6, 1, e i s n a o,0,5,1,0
ably, 4, 4, 8, 5, e a s o i y r l,0,10,8,0
abnegation, 10, 8, 3, 0, e i n,0,6,0,0
abnormal, 8, 7, 5, 2, e i a l m,0,4,2,0
abnormalities, 13, 11, 6, 0, i t s e l m,0,3,0,0
abnormality, 11, 10, 5, 1, e i n y t,0,3,1,0
abnormally, 10, 8, 5, 2, e i o a r,0,4,2,0
aboard, 6, 5, 6, 4, e a s i t b,0,4,2,0
abode, 5, 5, 6, 2, e a l o d n,0,11,7,0
abodes, 6, 6, 8, 3, e r d s i a o n,0,8,4,0
abolish, 7, 7, 6, 2, e i n s h o,0,6,3,0
abolished, 9, 9, 6, 2, e s r d u l,0,7,2,0
abolishes, 9, 8, 6, 1, e s h i u a,0,7,2,0
abolishing, 10, 9, 7, 3, e i n g f u o,0,4,2,0
abolition, 9, 7, 5, 2, e i n o s,0,4,1,0
abolitionist, 12, 8, 2, 0, i n,0,3,1,0
abolitionists, 13, 8, 3, 0, i s n,0,3,1,0
abomb, 5, 4, 8, 5, e s a o n t d m,0,10,8,0
abominable, 10, 8, 4, 0, e a l b,0,4,1,0
abominably, 10, 8, 4, 1, e i a l,0,4,2,0
abominate, 9, 8, 4, 0, e a t i,0,4,0,0
abominated, 10, 9, 6, 1, e s d t a i,0,4,0,0
abomination, 11, 7, 5, 1, e i n t o,0,4,1,0
abominations, 12, 8, 5, 0, i a s t n,0,4,1,0
aboriginal, 10, 8, 5, 2, e i s l n,0,5,2,0
aborigines, 10, 9, 4, 0, e s a i,0,4,1,0
abort, 5, 5, 8, 4, e s a o n t b u,0,8,4,0
aborted, 7, 7, 7, 4, e r d s l c n,0,8,3,0
aborting, 8, 8, 9, 3, e i n g a u o t p,0,8,2,0
abortion, 8, 7, 7, 2, e i n a o t p,0,8,2,0
abortionist, 11, 8, 3, 1, e i n,0,3,1,0
abortionists, 12, 8, 5, 0, i s t n r,0,3,1,0
abortions, 9, 8, 8, 2, e i s n a o t p,0,8,1,0
abortive, 8, 8, 7, 1, e a i t o v p,0,8,2,0
aborts, 6, 6, 8, 4, e a i o n s t p,0,8,3,0
abound, 6, 6, 8, 4, e a i o n r u t,0,8,5,0
abounded, 8, 7, 5, 2, e s d o r,0,5,2,0
abounding, 9, 8, 8, 2, e i n g a u o t,0,5,2,0
abounds, 7, 7, 8, 3, e i a o s n u t,0,6,3,0
about, 5, 5, 8, 3, e s a o n t b u,0,11,8,0
above, 5, 5, 8, 5, e a l o d k n s,0,18,15,2
abraded, 7, 5, 5, 1, e r s d a,0,8,5,0
abraham, 7, 5, 5, 3, e i a l m,0,7,6,0
abrasion, 8, 7, 7, 1, e i n a o b s,0,4,2,0
abrasions, 9, 7, 6, 1, e i s n o a,0,6,2,0
abrasive, 8, 7, 4, 1, e a i l,0,7,3,0
abrasively, 10, 9, 7, 2, e s n y l i t,0,3,1,0
abrasiveness, 12, 8, 3, 0, i e s,0,3,1,0
abrasives, 9, 7, 4, 0, e s i a,0,3,1,0
abreast, 7, 6, 3, 0, e a s,0,3,0,0
abridge, 7, 7, 5, 1, e a i t d,0,8,4,0
abridged, 8, 7, 5, 1, e s d r i,0,8,4,0
abridgement, 11, 10, 5, 0, e n t m d,0,3,0,0
abridging, 9, 7, 4, 1, e i n g,0,8,4,0
abroad, 6, 5, 5, 2, e a r i o,0,4,2,0
abrogate, 8, 7, 5, 1, e a t c r,0,8,3,0
abrogated, 9, 8, 8, 3, e s d n a t o c,0,8,3,0
abrogating, 10, 8, 5, 1, e i n g t,0,8,2,0
abrogation, 10, 8, 7, 2, e i n o t a c,0,8,2,0
abrogations, 11, 9, 8, 2, e i s o n t a c,0,8,1,0
abrupt, 6, 6, 9, 4, e a i o u s t b p,0,8,5,0
abruptly, 8, 8, 6, 4, e i a o u d,0,7,5,0
abruptness, 10, 9, 7, 2, e s n i l t p,0,4,1,0
abscess, 7, 5, 3, 1, e s t,0,7,4,0
abscesses, 9, 5, 3, 1, e s t,0,7,4,0
abscissa, 8, 5, 3, 1, e i s,0,5,3,0
abscissae, 9, 6, 2, 0, e a,0,3,1,0
abscissas, 9, 5, 4, 1, e i a c,0,5,3,0
abscond, 7, 7, 6, 3, e i a o r n,0,6,3,0
absconded, 9, 8, 4, 1, e s d u,0,8,3,0
absconder, 9, 9, 5, 0, e s d r a,0,8,2,0
absconding, 10, 9, 6, 1, e i n g a o,0,4,2,0
absconds, 8, 7, 5, 3, e i a o t,0,5,3,0
abseil, 6, 6, 5, 1, e s t l a,0,5,2,0
abseiled, 8, 7, 6, 1, e d t s l a,0,8,4,0
abseiler, 8, 7, 4, 1, e d s r,0,8,3,0
abseiling, 9, 8, 4, 0, e i g n,0,5,2,0
abseils, 7, 6, 3, 0, e a s,0,5,2,0
absence, 7, 6, 5, 2, e n c l f,0,6,3,0
absences, 8, 6, 4, 2, e d s r,0,7,3,0
absent, 6, 6, 4, 0, e s t n,0,7,2,0
absented, 8, 7, 6, 0, e d t n a s,0,7,2,0
absentee, 8, 6, 3, 0, e n t,0,2,0,0
absenteeism, 11, 8, 1, 0, e,0,1,0,0
absentees, 9, 6, 2, 0, e t,0,2,0,0
absenting, 9, 8, 7, 0, e i n g a t s,0,7,1,0
absently, 8, 8, 9, 2, e r i a t b y l n,0,7,2,0
absentminded, 12, 9, 3, 0, i e d,0,3,0,0
absentmindedly, 14, 11, 2, 0, i n,0,1,0,0
absentmindedness, 16, 9, 2, 0, i n,0,1,0,0
absolute, 8, 8, 5, 2, e a i u r,0,5,1,0
absolutely, 10, 9, 3, 0, e s t,0,3,0,0
absoluteness, 12, 9, 5, 1, i e o t u,0,3,0,0
absolutes, 9, 8, 4, 1, e s i t,0,6,2,0
absolution, 10, 9, 8, 2, e i n o t a s p,0,8,2,0
absolutism, 10, 9, 5, 2, e i n t s,0,6,2,0
absolutist, 10, 8, 5, 2, e i n t s,0,3,1,0
absolutists, 11, 8, 3, 1, e i s,0,3,1,0
absolve, 7, 7, 5, 2, e a i o c,0,4,1,0
absolved, 8, 8, 7, 2, e s d u i o b,0,8,4,0
absolves, 8, 7, 6, 3, e s t i r a,0,7,3,0
absolving, 9, 9, 7, 2, e i n g r a s,0,8,3,0
absorb, 6, 5, 7, 2, e a i o s r b,0,11,7,0
absorbed, 8, 7, 7, 2, e s d u i o b,0,11,5,0
absorbency, 10, 9, 3, 1, e s i,0,3,1,0
absorbent, 9, 8, 4, 1, e s i r,0,7,1,0
absorber, 8, 6, 6, 3, e s d u i a,0,8,3,0
absorbers, 9, 6, 5, 1, e s r o i,0,7,3,0
absorbing, 9, 8, 8, 2, e i n g r a o d,0,8,2,0
absorbingly, 11, 10, 10, 2, e i n y l g r o a d,0,7,2,0
absorbs, 7, 5, 6, 2, e i a o r s,0,7,4,0
absorption, 10, 9, 10, 2, e i n o t a s p r d,0,11,4,0
absorptions, 11, 9, 4, 1, e i s n,0,5,1,0
absorptive, 10, 10, 6, 1, e a i o p l,0,3,0,0
absorptivity, 12, 10, 5, 1, i t y v c,0,3,1,0
abstain, 7, 6, 4, 2, e i a c,0,3,1,0
abstained, 9, 8, 5, 1, e s d n o,0,8,2,0
abstainer, 9, 8, 5, 1, e s d r n,0,8,1,0
abstainers, 10, 8, 5, 0, e s r t n,0,3,0,0
abstaining, 10, 7, 6, 1, e i n g t a,0,3,1,0
abstains, 8, 6, 7, 2, e i n g s t b,0,3,1,0
abstemious, 10, 9, 7, 0, e i s t o u m,0,3,0,0
abstemiously, 12, 11, 2, 0, i a,0,3,0,0
abstemiousness, 14, 10, 2, 0, i e,0,3,0,0
abstention, 10, 8, 5, 0, e i n o s,0,3,0,0
abstentions, 11, 8, 5, 0, e n i o s,0,3,0,0
abstinence, 10, 8, 5, 1, e n c i m,0,3,0,0
abstinent, 9, 7, 4, 0, e s i t,0,3,0,0
abstract, 8, 6, 4, 2, e i a t,0,3,1,0
abstracted, 10, 8, 7, 1, e s d t c r u,0,3,0,0
abstractedly, 12, 10, 3, 1, i e a,0,3,0,0
abstracting, 11, 9, 7, 1, e i n g a c r,0,4,2,0
abstraction, 11, 9, 8, 1, e i n o t c r s,0,4,1,0
abstractions, 12, 9, 7, 0, i t n o c r s,0,3,1,0
abstractly, 10, 8, 7, 3, e i o a y l t,0,3,1,0
abstracts, 9, 6, 4, 2, e i a t,0,3,1,0
abstruse, 8, 7, 5, 1, e a i u r,0,3,0,0
abstrusely, 10, 9, 2, 0, e s,0,3,0,0
absurd, 6, 6, 6, 3, e a i o u s,0,7,5,0
absurder, 8, 7, 4, 0, e s d u,0,7,4,0
absurdest, 9, 8, 4, 0, e s t d,0,6,3,0
absurdist, 9, 8, 6, 2, e i n a t s,0,5,2,0
absurdities, 11, 9, 5, 0, e i s t r,0,5,1,0
absurdity, 9, 9, 5, 2, e i n a t,0,5,2,0
absurdly, 8, 8, 6, 3, e i a o u d,0,5,4,0
abundance, 9, 7, 4, 0, e a c n,0,6,3,0
abundances, 10, 8, 5, 0, e s a c n,0,6,3,0
abundant, 8, 6, 5, 2, e i a t n,0,6,3,0
abundantly, 10, 8, 7, 3, e i o a y l t,0,4,2,0
abuse, 5, 5, 8, 4, e a l o i u s m,0,14,10,2
abused, 6, 6, 9, 4, e r d a l o s u m,0,14,9,1
abuser, 6, 6, 7, 3, e r a l n u t,0,8,4,0
abusers, 7, 6, 4, 0, e s r a,0,7,4,0
abuses, 6, 5, 7, 3, e r d s u a m,0,14,10,2
abusing, 7, 7, 10, 4, e i n g a l r s u m,0,14,9,1
abusive, 7, 7, 4, 0, e a i s,0,7,3,0
abusively, 9, 9, 3, 0, e s a,0,7,3,0
abusiveness, 11, 8, 4, 1, e n s r,0,3,1,0
abut, 4, 4, 8, 6, e a s o i y u m,0,6,4,0
abutment, 8, 7, 5, 1, e s t n u,0,3,0,0
abutments, 9, 8, 5, 0, e s n t u,0,3,0,0
abutted, 7, 6, 8, 4, e r d l s t i a,0,3,0,0
abutting, 8, 7, 6, 1, e i n g a u,0,3,1,0
abuzz, 5, 4, 8, 6, e s a o i l u k,0,12,11,2
aby, 3, 3, 11, 10, a e t s r l d n m k o,2,14,13,4
abysmal, 7, 6, 6, 3, e i a r l s,0,7,5,0
abysmally, 9, 6, 4, 3, e i a t,0,5,4,0
abyss, 5, 4, 4, 2, e s a i,0,7,5,0
abyssal, 7, 5, 6, 3, e i a r l s,0,7,5,0
abysses, 7, 5, 5, 2, e r d s a,0,7,4,0
acacia, 6, 3, 4, 2, e a i b,0,8,6,0
academe, 7, 5, 3, 0, e c a,0,3,1,0
academia, 8, 6, 4, 2, e s r a,0,3,1,0
academic, 8, 6, 4, 2, e s r a,0,3,1,0
academical, 10, 7, 4, 1, e i s c,0,3,1,0
academically, 12, 8, 6, 0, i a y l m c,0,3,1,0
academician, 11, 7, 3, 1, e n o,0,3,1,0
academicians, 12, 8, 5, 0, i s e n m,0,3,1,0
academics, 9, 7, 5, 2, e i n t c,0,6,3,0
academies, 9, 7, 4, 1, e s i r,0,3,1,0
academy, 7, 6, 6, 4, e s r n l a,0,6,4,0
acanthus, 8, 7, 6, 3, e i a s t r,0,5,3,0
acapulco, 8, 6, 4, 3, e i a s,0,4,2,0
accede, 6, 4, 5, 2, e a p l d,0,10,8,0
acceded, 7, 4, 4, 2, e r d p,0,10,8,0
acceding, 8, 7, 6, 1, e r i n g c,0,10,6,0
accelerate, 10, 6, 2, 0, e t,0,2,0,0
accelerated, 11, 7, 7, 1, e r t l c a s,0,7,4,0
accelerates, 11, 7, 7, 0, e r t l c a s,0,7,3,0
accelerating, 12, 9, 6, 0, i n g r t e,0,4,1,0
acceleration, 12, 9, 6, 0, i n o t a l,0,4,0,0
accelerations, 13, 10, 7, 0, i s n o t a l,0,2,0,0
accelerator, 11, 7, 2, 1, e n,0,3,0,0
accelerators, 12, 8, 3, 1, i e l,0,4,0,0
accelerometer, 13, 8, 2, 1, i e,0,1,0,0
accelerometers, 14, 9, 2, 1, i e,0,1,0,0
accent, 6, 5, 7, 3, e s n t a r v,0,11,7,0
accented, 8, 6, 6, 1, e d t n a s,0,7,3,0
accenting, 9, 7, 7, 1, e i n g a t s,0,7,2,0
accents, 7, 6, 6, 1, e a s t c p,0,11,6,0
accentuate, 10, 6, 3, 1, e a s,0,3,0,0
accentuated, 11, 7, 8, 2, e r n t u c a s,0,7,3,0
accentuates, 11, 7, 8, 1, e r n t u c a s,0,7,2,0
accentuating, 12, 8, 5, 0, i n g u t,0,4,1,0
accentuation, 12, 8, 4, 0, i n o t,0,4,0,0
accept, 6, 5, 7, 3, e s n l a t c,0,12,8,0
acceptability, 13, 9, 6, 0, i t y l b a,0,2,0,0
acceptable, 10, 7, 6, 1, e a t l b s,0,7,4,0
acceptably, 10, 8, 5, 3, e i r a s,0,5,2,0
acceptance, 10, 6, 4, 1, e a t l,0,6,2,0
acceptances, 11, 7, 6, 1, e r n s a c,0,5,2,0
accepted, 8, 6, 6, 2, e d t n s c,0,12,7,0
accepting, 9, 8, 8, 2, e i n g s l t c,0,12,6,0
acceptor, 8, 7, 5, 1, e r o t n,0,7,3,0
acceptors, 9, 8, 5, 1, e i r a s,0,6,2,0
accepts, 7, 6, 6, 0, e a s t c p,0,12,7,0
access, 6, 4, 4, 0, e s a c,0,12,8,0
accessed, 8, 5, 5, 1, e d t s c,0,7,4,0
accesses, 8, 4, 4, 1, e d s c,0,7,4,0
accessibility, 13, 9, 6, 0, i t y l b s,0,3,0,0
accessible, 10, 7, 2, 0, e a,0,3,1,0
accessing, 9, 7, 6, 0, e i n g s c,0,7,2,0
accession, 9, 7, 6, 0, e i n o a s,0,7,1,0
accessions, 10, 7, 3, 0, e i s,0,7,1,0
accessories, 11, 7, 3, 0, e r s,0,3,1,0
accessory, 9, 7, 5, 1, e i r a s,0,7,3,0
accidence, 9, 6, 3, 1, e i s,0,5,2,0
accident, 8, 7, 6, 2, e s t n a u,0,5,1,0
accidental, 10, 8, 8, 0, e i n l t d c a,0,3,0,0
accidentally, 12, 9, 3, 1, i e s,0,3,0,0
accidentprone, 13, 10, 2, 0, i e,0,2,0,0
accidents, 9, 8, 6, 1, e s n t m d,0,5,1,0
acclaim, 7, 5, 4, 1, e i a c,0,8,6,0
acclaimed, 9, 7, 6, 2, e s d n a c,0,7,4,0
acclaims, 8, 6, 5, 2, e i n s a,0,7,4,0
acclamation, 11, 8, 7, 2, e i n o t a v,0,8,3,0
acclamations, 12, 9, 7, 1, i t s o n a v,0,8,2,0
acclimatisation, 15, 9, 3, 0, i n o,0,3,1,0
acclimatise, 11, 8, 6, 0, e a t i l c,0,7,2,0
acclimatised, 12, 9, 3, 0, i a s,0,3,0,0
acclimatising, 13, 9, 3, 0, i a t,0,3,1,0
accolade, 8, 6, 5, 3, e a t p m,0,4,1,0
accolades, 9, 7, 6, 2, e s i o a t,0,4,1,0
accommodate, 11, 7, 4, 0, e a t o,0,4,0,0
accommodated, 12, 7, 6, 2, i e r o t d,0,7,3,0
accommodates, 12, 8, 6, 2, i e r o t d,0,7,2,0
accommodating, 13, 9, 5, 2, i n g r l,0,4,1,0
accommodation, 13, 8, 3, 0, i n o,0,4,1,0
accommodations, 14, 9, 2, 0, i o,0,4,1,0
accompanied, 11, 9, 9, 1, e i o c n p m a s,0,7,2,0
accompanies, 11, 9, 9, 0, e i o c n p m a s,0,7,1,0
accompaniment, 13, 9, 3, 0, i t e,0,3,0,0
accompaniments, 14, 10, 2, 0, i a,0,2,0,0
accompanist, 11, 9, 6, 1, e i n t s p,0,3,1,0
accompany, 9, 7, 5, 3, e i a o r,0,4,2,0
accompanying, 12, 9, 5, 2, i n g e d,0,3,2,0
accomplice, 10, 8, 6, 0, e a i o p l,0,4,1,0
accomplices, 11, 9, 4, 0, e i s o,0,4,1,0
accomplish, 10, 9, 7, 3, e i n t l s m,0,6,3,0
accomplished, 12, 11, 4, 0, i e o s,0,7,2,0
accomplishes, 12, 10, 4, 0, i e o s,0,7,2,0
accomplishing, 13, 11, 4, 0, i n g s,0,4,2,0
accomplishment, 14, 12, 2, 0, i n,0,3,0,0
accomplishments, 15, 12, 2, 0, i n,0,2,0,0
accord, 6, 5, 8, 4, e a i o s r d f,0,12,7,0
accordance, 10, 7, 5, 1, e a l n c,0,6,2,0
accorded, 8, 6, 7, 2, e s d o a r f,0,12,6,0
according, 9, 8, 9, 2, e i n g r a o d f,0,12,5,0
accordingly, 11, 10, 10, 1, e i n y l g r o a d,0,7,3,0
accordion, 9, 7, 7, 2, e i n o r a t,0,4,2,0
accordionist, 12, 9, 4, 0, i n t s,0,3,1,0
accordions, 10, 8, 8, 2, e i s o r n a t,0,4,2,0
accords, 7, 6, 8, 3, e i a o r s d f,0,12,6,0
accost, 6, 5, 7, 3, e a i o s t m,0,10,6,0
accosted, 8, 7, 5, 2, e s t r u,0,7,2,0
accosting, 9, 8, 8, 3, e i n g r a s u,0,6,1,0
accosts, 7, 5, 6, 3, e i a o r t,0,4,1,0
account, 7, 6, 6, 3, e i a o r t,0,5,2,0
accountability, 14, 10, 6, 0, i t y l b a,0,3,1,0
accountable, 11, 9, 3, 1, e a i,0,3,0,0
accountancy, 11, 7, 6, 2, e i o t y n,0,3,1,0
accountant, 10, 6, 4, 2, e i o a,0,3,1,0
accountants, 11, 7, 4, 2, e i o t,0,3,1,0
accounted, 9, 8, 8, 2, e s d n t a o i,0,6,1,0
accounting, 10, 8, 7, 1, e i n g a o t,0,6,1,0
accounts, 8, 7, 6, 2, e i a o s n,0,5,2,0
accra, 5, 3, 5, 4, e s a o h,0,8,6,0
accredit, 8, 7, 6, 1, e s r i a c,0,3,0,0
accreditation, 13, 9, 5, 0, i n o t e,0,2,0,0
accredited, 10, 7, 6, 0, e r t d i c,0,3,0,0
accrediting, 11, 9, 5, 0, e n i g r,0,3,0,0
accredits, 9, 8, 4, 1, e i n t,0,3,0,0
accreted, 8, 6, 3, 0, e d r,0,3,0,0
accretion, 9, 8, 4, 0, e i n t,0,3,0,0
accretions, 10, 9, 5, 0, e i s n t,0,3,0,0
accrual, 7, 5, 4, 2, e i a r,0,8,6,0
accruals, 8, 6, 6, 3, e i a t c s,0,8,5,0
accrue, 6, 5, 5, 2, e l i a u,0,8,5,0
accrued, 7, 6, 6, 2, e r d s l c,0,8,5,0
accrues, 7, 6, 5, 1, e r d s a,0,8,4,0
accruing, 8, 7, 6, 1, e i n g a u,0,8,4,0
accumulate, 10, 7, 4, 1, e a t i,0,5,2,0
accumulated, 11, 8, 9, 2, e i a t l m u c s,0,7,4,0
accumulates, 11, 8, 9, 1, e i a t l m u c s,0,7,3,0
accumulating, 12, 9, 7, 2, i n g r s t l,0,5,2,0
accumulation, 12, 9, 6, 0, i n o t a l,0,5,1,0
accumulations, 13, 10, 7, 0, i s n o t a l,0,5,1,0
accumulative, 12, 9, 5, 3, i n r l g,0,3,0,0
accumulator, 11, 8, 4, 2, e i o r,0,5,2,0
accumulators, 12, 9, 4, 2, i e o s,0,5,2,0
accuracies, 10, 7, 4, 0, e s a c,0,5,2,0
accuracy, 8, 5, 5, 3, e i a t c,0,7,6,0
accurate, 8, 6, 4, 0, e a t c,0,8,4,0
accurately, 10, 8, 8, 1, e s t y l r u a,0,3,0,0
accursed, 8, 7, 6, 2, e s d i o a,0,7,4,0
accusal, 7, 5, 6, 3, e i a r l s,0,7,5,0
accusals, 8, 5, 6, 3, e i a t c s,0,7,5,0
accusation, 10, 8, 7, 1, e i n o t u s,0,5,1,0
accusations, 11, 8, 4, 1, e i s n,0,5,1,0
accusative, 10, 8, 4, 0, e a i t,0,3,0,0
accusatory, 10, 8, 4, 2, e i o s,0,7,3,0
accuse, 6, 5, 7, 3, e l i a u s o,0,7,4,0
accused, 7, 6, 7, 4, e r d l s n o,0,8,5,0
accuser, 7, 6, 6, 2, e r i l s c,0,8,4,0
accusers, 8, 6, 4, 0, e s r c,0,6,4,0
accuses, 7, 5, 7, 3, e r d s u n c,0,7,4,0
accusing, 8, 7, 8, 2, e i n g a u s o,0,7,3,0
accusingly, 10, 9, 7, 1, e i l y n g s,0,7,3,0
accustom, 8, 7, 6, 2, e i a o t c,0,7,3,0
accustomed, 10, 9, 4, 0, e s d a,0,4,0,0
accustoming, 11, 10, 5, 1, e i n g a,0,4,1,0
ace, 3, 3, 12, 9, a e y x w v t r p l g c,2,12,9,8
aced, 4, 4, 9, 6, e s d i a x w p g,0,12,8,0
acentric, 8, 7, 4, 1, e i o c,0,5,1,0
acerbic, 7, 6, 5, 1, e r a i d,0,8,4,0
acerbity, 8, 8, 5, 2, e i n r o,0,3,0,0
acers, 5, 5, 7, 3, e s r o i a v,0,12,7,0
aces, 4, 4, 10, 7, e s o i u a x p l g,0,12,8,0
acetal, 6, 5, 6, 4, e s r n c o,0,3,0,0
acetate, 7, 4, 4, 2, e r s a,0,2,0,0
acetates, 8, 5, 5, 2, e r s n c,0,2,0,0
acetic, 6, 5, 5, 3, e s r n c,0,3,0,0
acetone, 7, 6, 5, 2, e r s a n,0,3,0,0
acetylene, 9, 7, 1, 0, e,0,1,0,0
ache, 4, 4, 6, 3, e a c r n m,0,9,6,0
ached, 5, 5, 7, 3, e s d a r c t,0,9,6,0
aches, 5, 5, 7, 3, e s a l d c r,0,9,5,0
achievable, 10, 8, 4, 2, e r t v,0,5,2,0
achieve, 7, 6, 3, 0, e c a,0,3,1,0
achieved, 8, 7, 5, 2, e d r n c,0,8,5,0
achievement, 11, 9, 1, 0, e,0,1,0,0
achievements, 12, 10, 2, 0, i e,0,1,0,0
achiever, 8, 7, 6, 2, e d r t v h,0,8,4,0
achievers, 9, 8, 4, 0, e s r i,0,5,2,0
achieves, 8, 7, 5, 2, e d r s c,0,7,3,0
achieving, 9, 8, 5, 0, e i g n h,0,5,2,0
aching, 6, 6, 9, 5, e a i t n g r k d,0,9,5,0
