Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
upraised, 8, 8, 5, 0, e s d i a,0,6,3,0
uprate, 6, 6, 7, 2, e l i a t r u,0,13,8,0
uprated, 7, 7, 7, 1, e r s d a t p,0,13,7,0
uprating, 8, 8, 9, 1, e i n g a t u p r,0,13,7,0
upright, 7, 7, 5, 3, e i s a u,0,5,3,0
uprightly, 9, 9, 6, 3, e i a l y s,0,7,5,0
uprightness, 11, 10, 5, 0, e s n r i,0,4,2,0
uprights, 8, 8, 6, 4, e i a n l r,0,5,3,0
uprise, 6, 6, 5, 1, e l i r s,0,8,4,0
uprising, 8, 7, 6, 1, e i n g r s,0,8,4,0
uprisings, 9, 7, 3, 1, e i s,0,6,4,0
upriver, 7, 6, 5, 1, e r i t v,0,8,5,0
uproar, 6, 5, 5, 2, e a l o r,0,8,5,0
uproarious, 10, 7, 5, 1, e i s o r,0,4,2,0
uproariously, 12, 9, 7, 0, i a y l s u o,0,4,2,0
uproars, 7, 6, 8, 2, e i a s o u p r,0,8,4,0
uproo, 5, 4, 5, 3, e s a o r,0,5,4,0
uproot, 6, 5, 6, 3, e a i o u t,0,4,2,0
uprooted, 8, 7, 7, 3, e s d a o u k,0,4,1,0
uprooting, 9, 8, 7, 2, e i n g r s t,0,4,2,0
uproots, 7, 6, 7, 3, e i a o s u t,0,4,2,0
ups, 3, 3, 6, 5, a o e i u n,0,13,11,3
upset, 5, 5, 5, 3, e s r d n,0,7,4,0
upsets, 6, 5, 5, 1, e s r t p,0,7,4,0
upsetting, 9, 8, 6, 0, e i n g s t,0,2,0,0
upshot, 6, 6, 8, 3, e a i o u h s t,0,5,3,0
upside, 6, 6, 8, 5, e l i r n v c u,0,7,4,0
upsidedown, 10, 9, 3, 0, e i n,0,5,2,0
upsilon, 7, 7, 4, 1, e i s l,0,7,3,0
upstage, 7, 7, 6, 2, e a t g o n,0,5,2,0
upstaged, 8, 8, 5, 1, e s d u n,0,7,3,0
upstages, 8, 7, 4, 0, e s t p,0,7,3,0
upstaging, 9, 8, 6, 1, e i n g a u,0,6,2,0
upstairs, 8, 7, 6, 2, e i n s t a,0,7,3,0
upstanding, 10, 9, 7, 1, e i n g a d t,0,6,2,0
upstart, 7, 6, 6, 2, e i a s u t,0,5,3,0
upstarts, 8, 6, 5, 2, e i a s u,0,5,3,0
upstream, 8, 8, 5, 0, e s a r t,0,5,2,0
upsurge, 7, 6, 5, 2, e a i u g,0,7,5,0
upsurges, 8, 6, 5, 2, e s t i r,0,7,5,0
upswing, 7, 7, 7, 3, e i n g a o u,0,13,9,3
uptake, 6, 6, 7, 3, e l i a t o u,0,6,3,0
upthrust, 8, 6, 5, 4, e i a o u,0,5,4,0
uptotheminute, 13, 9, 2, 0, i t,0,2,0,0
uptown, 6, 6, 6, 3, e a i o u n,0,6,3,0
upturn, 6, 5, 6, 4, e a i o u n,0,6,4,0
upturned, 8, 7, 9, 4, e s d a o i u r n,0,6,3,0
upward, 6, 6, 10, 5, e a s i t n r d w p,0,7,6,0
upwardly, 8, 8, 9, 2, e i a r y l d w p,0,6,5,0
upwards, 7, 7, 9, 3, e i a y s u p d r,0,7,5,0
upwind, 6, 6, 9, 4, e a i n g s u p d,0,11,8,0
uranium, 7, 6, 7, 2, e i n s a m u,0,12,8,0
uranus, 6, 5, 8, 3, e a s r n g k u,0,13,8,0
urban, 5, 5, 7, 4, e s a o i u n,0,8,5,0
urbane, 6, 6, 6, 3, e l i a t r,0,8,4,0
urbanely, 8, 8, 8, 2, e s t l y n a u,0,8,4,0
urbanisation, 12, 9, 7, 0, i t n a s r o,0,5,1,0
urbanise, 8, 8, 5, 1, e a i o u,0,8,2,0
urbanised, 9, 9, 8, 1, e s d i a o n u,0,8,2,0
urbanising, 10, 8, 7, 2, e i n g s a m,0,8,3,0
